id,Total Marks,Physics,vectors,newtons laws of motion,kinemetics,Chemistry,basic concepts of chem,redox reactions,gaseous theory,Maths,trignometry,logrithms,integral calculus,,,,,,,,,
2.50272100768793E+018,116,14,16,16,-1,-1,-1,-1,58,22,22,26,26,10,10,44,24,24,-9,-9,29,29
1.88080043463864E+018,114,65,-3,-3,36,36,32,32,-12,3,3,-9,-9,-6,-6,61,15,15,36,36,10,10
5.60700094654594E+018,106,41,16,16,-4,-4,29,29,36,-6,-6,25,25,17,17,29,12,12,11,11,6,6
2.56247095055289E+018,127,57,29,29,36,36,-8,-8,-8,-9,-9,9,9,-8,-8,78,17,17,21,21,40,40
9.94682628804357E+017,106,10,3,3,4,4,3,3,91,24,24,40,40,27,27,5,-6,-6,18,18,-7,-7
6.30676092289459E+018,123,51,-6,-6,31,31,26,26,54,26,26,23,23,5,5,18,6,6,-6,-6,18,18
2.42164590015238E+018,167,27,6,6,19,19,2,2,88,37,37,12,12,39,39,52,37,37,8,8,7,7
4.56899854929679E+018,112,33,20,20,4,4,9,9,56,27,27,35,35,-6,-6,23,28,28,4,4,-9,-9
8.78420600608519E+018,94,47,13,13,8,8,26,26,14,15,15,0,0,-1,-1,33,29,29,-10,-10,14,14
3.27490500056565E+018,162,80,31,31,23,23,26,26,28,-7,-7,40,40,-5,-5,54,15,15,2,2,37,37
3.87439680831258E+018,102,84,33,33,20,20,31,31,6,-6,-6,3,3,9,9,12,-7,-7,13,13,6,6
9.22323199190575E+018,169,51,30,30,-4,-4,25,25,33,32,32,3,3,-2,-2,85,19,19,26,26,40,40
4.74103625097414E+018,175,53,22,22,-6,-6,37,37,70,39,39,-2,-2,33,33,52,-7,-7,26,26,33,33
2.70578877073177E+018,61,34,39,39,1,1,-6,-6,41,-2,-2,13,13,30,30,-14,-7,-7,-7,-7,0,0
4.04962364488116E+017,164,58,-4,-4,32,32,30,30,27,-9,-9,23,23,13,13,79,21,21,18,18,40,40
8.32057805673081E+018,70,16,16,16,-4,-4,4,4,28,-3,-3,27,27,4,4,26,-5,-5,15,15,16,16
8.96735052437259E+018,176,69,2,2,32,32,35,35,53,4,4,10,10,39,39,54,30,30,20,20,4,4
3.86297194390984E+018,132,65,37,37,13,13,15,15,20,-4,-4,34,34,-10,-10,47,9,9,39,39,-1,-1
6.03714241953205E+018,65,18,11,11,6,6,1,1,43,18,18,3,3,22,22,4,17,17,-4,-4,-9,-9
5.53161600400966E+018,153,72,15,15,20,20,37,37,-4,-10,-10,12,12,-6,-6,85,27,27,37,37,21,21
3.35826237572946E+018,196,63,17,17,8,8,38,38,71,30,30,16,16,25,25,62,17,17,7,7,38,38
2.12951754784959E+018,85,31,36,36,-1,-1,-4,-4,50,7,7,27,27,16,16,4,-10,-10,-2,-2,16,16
2.6534665712047E+018,131,21,-1,-1,14,14,8,8,36,33,33,-1,-1,4,4,74,14,14,31,31,29,29
2.17278501048746E+018,97,50,-9,-9,38,38,21,21,37,22,22,5,5,10,10,10,-2,-2,-4,-4,16,16
1.95670958731184E+018,128,30,-3,-3,33,33,0,0,82,33,33,12,12,37,37,16,-9,-9,-4,-4,29,29
7.01979909295351E+018,153,39,16,16,-5,-5,28,28,71,34,34,3,3,34,34,43,23,23,-5,-5,25,25
